"target_url","status","example_source_url","example_anchor_text"
"https://www.searchsarkarinaukri.com/jobs-in-tamil-nadu-/-kerala","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-rajbhasha-recruitment-2026--4564","tamil nadu / kerala sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/tamil-nadu-/-andhra-pradesh","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-finance-recruitment-2026--4557","All government jobs in tamil nadu / andhra pradesh"
"https://www.searchsarkarinaukri.com/jobs-in-tamil-nadu-/-andhra-pradesh","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-finance-recruitment-2026--4557","tamil nadu / andhra pradesh sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/odisha","404","https://www.searchsarkarinaukri.com/jobs/csc-aadhaar-supervisor-operator-recruitment-2026-odisha-apply-online--3979","All government jobs in odisha"
"https://www.searchsarkarinaukri.com/districts/mumbai-/-tamil-nadu-/-kerala","404","https://www.searchsarkarinaukri.com/jobs/irel-chief-manager-finance-recruitment-2026--4555","All government jobs in mumbai / tamil nadu / kerala"
"https://www.searchsarkarinaukri.com/jobs-in-mumbai-/-tamil-nadu-/-kerala","404","https://www.searchsarkarinaukri.com/jobs/irel-chief-manager-finance-recruitment-2026--4555","mumbai / tamil nadu / kerala sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/kerala-/-odisha-/-tamil-nadu","404","https://www.searchsarkarinaukri.com/jobs/irel-manager-legal-recruitment-2026--4550","All government jobs in kerala / odisha / tamil nadu"
"https://www.searchsarkarinaukri.com/jobs-in-kerala-/-odisha-/-tamil-nadu","404","https://www.searchsarkarinaukri.com/jobs/irel-manager-legal-recruitment-2026--4550","kerala / odisha / tamil nadu sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/kerala","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-mineral-recruitment-2026--4520","All government jobs in kerala"
"https://www.searchsarkarinaukri.com/districts/kerala-/-andhra-pradesh-/-tamil-nadu","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-it-recruitment-2026--4547","All government jobs in kerala / andhra pradesh / tamil nadu"
"https://www.searchsarkarinaukri.com/jobs-in-kerala-/-andhra-pradesh-/-tamil-nadu","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-it-recruitment-2026--4547","kerala / andhra pradesh / tamil nadu sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/kerala-/-tamil-nadu","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-commercial-purchase-recruitment-2026--4541","All government jobs in kerala / tamil nadu"
"https://www.searchsarkarinaukri.com/jobs-in-kerala-/-tamil-nadu","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-commercial-purchase-recruitment-2026--4541","kerala / tamil nadu sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/odisha-/-kerala","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mining-recruitment-2026--4540","All government jobs in odisha / kerala"
"https://www.searchsarkarinaukri.com/jobs-in-odisha-/-kerala","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mining-recruitment-2026--4540","odisha / kerala sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/odisha-/-andhra-pradesh","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-chemical-recruitment-2026--4519","All government jobs in odisha / andhra pradesh"
"https://www.searchsarkarinaukri.com/jobs-in-odisha-/-andhra-pradesh","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-chemical-recruitment-2026--4519","odisha / andhra pradesh sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/tamil-nadu-/-odisha","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-electrical-recruitment-2026--4516","All government jobs in tamil nadu / odisha"
"https://www.searchsarkarinaukri.com/jobs-in-tamil-nadu-/-odisha","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-electrical-recruitment-2026--4516","tamil nadu / odisha sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/tamil-nadu","404","https://www.searchsarkarinaukri.com/jobs/pnb-local-bank-officer-recruitment-2026-tamil-nadu-apply-online-for-51-posts--3324","All government jobs in tamil nadu"
"https://www.searchsarkarinaukri.com/districts/kerala-/-odisha-/-aluva","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mechanical-recruitment-2026--4514","All government jobs in kerala / odisha / aluva"
"https://www.searchsarkarinaukri.com/jobs-in-kerala-/-odisha-/-aluva","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mechanical-recruitment-2026--4514","kerala / odisha / aluva sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/chhattisgarh","404","https://www.searchsarkarinaukri.com/jobs/csc-aadhaar-supervisor-operator-recruitment-2026-chhattisgarh-apply-online--3977","All government jobs in chhattisgarh"
"https://www.searchsarkarinaukri.com/districts/secunderabad-and-bengaluru","404","https://www.searchsarkarinaukri.com/jobs/dgqa-technician-skilled-recruitment-2026--4506","All government jobs in secunderabad and bengaluru"
