url,status,redirect_location,in_sitemap,discovered_via_internal_link
https://www.searchsarkarinaukri.com/jobs/ghb--4203,301,https://www.searchsarkarinaukri.com/jobs/ghb-ghb-2026--4203,false,true
https://www.searchsarkarinaukri.com/jobs/ghb--4384,301,https://www.searchsarkarinaukri.com/jobs/ghb-ghb-2026--4384,false,true
https://www.searchsarkarinaukri.com/jobs/gmc-latur--4778,301,https://www.searchsarkarinaukri.com/jobs/gmc-latur-gmc-latur-2026--4778,false,true
https://www.searchsarkarinaukri.com/jobs/gmc-nanded--4661,301,https://www.searchsarkarinaukri.com/jobs/gmc-nanded-gmc-nanded-2026--4661,false,true
https://www.searchsarkarinaukri.com/jobs/gokhale-education-society--4720,301,https://www.searchsarkarinaukri.com/jobs/gokhale-education-society-gokhale-education-society-2026--4720,false,true
https://www.searchsarkarinaukri.com/jobs/gokhale-education-society--5009,301,https://www.searchsarkarinaukri.com/jobs/gokhale-education-society-gokhale-education-society-2026--5009,false,true
https://www.searchsarkarinaukri.com/jobs/government-dental-college-and-hospital-jalgaon--4579,301,https://www.searchsarkarinaukri.com/jobs/government-dental-college-and-hospital-jalgaon-government-dental-college-and-hospital-jalgaon-2026--4579,false,true
https://www.searchsarkarinaukri.com/jobs/gpsc-goa--4586,301,https://www.searchsarkarinaukri.com/jobs/gpsc-goa-gpsc-goa-2026--4586,false,true
https://www.searchsarkarinaukri.com/jobs/gramin-technical-and-management-campus-nanded--4876,301,https://www.searchsarkarinaukri.com/jobs/gramin-technical-and-management-campus-nanded-gramin-technical-and-management-campus-nanded-2026--4876,false,true
https://www.searchsarkarinaukri.com/jobs/hal-nashik--4672,301,https://www.searchsarkarinaukri.com/jobs/hal-nashik-hal-nashik-2026--4672,false,true
https://www.searchsarkarinaukri.com/jobs/hemrl-pune--4378,301,https://www.searchsarkarinaukri.com/jobs/hemrl-pune-hemrl-pune-2026--4378,false,true
https://www.searchsarkarinaukri.com/jobs/high-court-of-judicature-at-bombay-bench-at-aurangabad-2026-recruitment-drive-27-cook-hardware-engineer-software-engineer-vacancies-announce--4929,301,https://www.searchsarkarinaukri.com/jobs/high-court-of-judicature-at-bombay-bench-at-aurangabad-high-court-of-judicature-at-bombay-2026--4929,false,true
https://www.searchsarkarinaukri.com/jobs/high-court-of-judicature-at-bombay-bench-at-aurangabad-2026-recruitment-drive-9-hardware-engineer-software-engineer-vacancies-announced--4772,301,https://www.searchsarkarinaukri.com/jobs/high-court-of-judicature-at-bombay-bench-at-aurangabad-high-court-of-judicature-at-bombay-2026--4772,false,true
https://www.searchsarkarinaukri.com/jobs/high-explosives-factory-khadki-pune--4835,301,https://www.searchsarkarinaukri.com/jobs/high-explosives-factory-khadki-pune-high-explosives-factory-khadki-pune-2026--4835,false,true
https://www.searchsarkarinaukri.com/jobs/hll-lifecare-ltd--4888,301,https://www.searchsarkarinaukri.com/jobs/hll-lifecare-ltd-hll-lifecare-ltd-2026--4888,false,true
https://www.searchsarkarinaukri.com/jobs/ibm-nagpur--2986,301,https://www.searchsarkarinaukri.com/jobs/ibm-nagpur-ibm-nagpur-2026--2986,false,true
https://www.searchsarkarinaukri.com/jobs/ibm-nagpur--3516,301,https://www.searchsarkarinaukri.com/jobs/ibm-nagpur-ibm-nagpur-2026--3516,false,true
https://www.searchsarkarinaukri.com/jobs/ibps--4022,301,https://www.searchsarkarinaukri.com/jobs/ibps-ibps-2026--4022,false,true
https://www.searchsarkarinaukri.com/jobs/ibps-crp-clerk--4952,301,https://www.searchsarkarinaukri.com/jobs/ibps-crp-clerk-ibps-crp-clerk-2026--4952,false,true
https://www.searchsarkarinaukri.com/jobs/icar-ccri-nagpur--4839,301,https://www.searchsarkarinaukri.com/jobs/icarccri-nagpur-icarccri-nagpur-2026--4839,false,true
