url,sitemap_file,lastmod,page_type,duplicate_count
https://www.searchsarkarinaukri.com/jobs/vnit-nagpur-vnit-nagpur-2026--4957,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/icsil-bharti-2026-details-icsil-bharti-2026-details-2026--4956,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/tifr-mumbai-tifr-mumbai-2026--4955,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/ciims-hospital-nagpur-ciims-hospital-nagpur-2026--4954,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/machine-tool-prototype-factory-machine-tool-prototype-factory-2026--4953,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/ibps-crp-clerk-ibps-crp-clerk-2026--4952,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/shahu-shikshan-sanstha-solapur-shahu-shikshan-sanstha-solapur-2026--4951,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/ministry-of-information-and-broadcasting-ministry-of-information-and-broadcasting-2026--4950,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/pgcil-pgcil-2026--4949,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/ministry-of-jal-shakti-ministry-of-jal-shakti-2026--4948,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-of-varangaon-kendriya-vidyalaya-of-varangaon-2026--4947,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-25,job-listing,1
https://www.searchsarkarinaukri.com/jobs/esic-pune-esic-pune-2026--4946,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--4945,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
