"name","ua","url","status","location","ttfb_ms","total_ms","bytes","content_type","content_encoding","cache_control","x_robots_tag","x_prerender","hsts","csp","x_content_type_options","x_frame_options","referrer_policy","server","alt_svc"
"sitemap","googlebot","https://www.searchsarkarinaukri.com/sitemap.xml","200","","30","30","1104","application/xml; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"sitemap","googlebot-desktop","https://www.searchsarkarinaukri.com/sitemap.xml","200","","46","47","1104","application/xml; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"llms","standard","https://www.searchsarkarinaukri.com/llms.txt","200","","16","16","2172","text/plain; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"llms","googlebot","https://www.searchsarkarinaukri.com/llms.txt","404","","21","21","5388","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"llms","googlebot-desktop","https://www.searchsarkarinaukri.com/llms.txt","404","","18","19","5388","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"google-verification","standard","https://www.searchsarkarinaukri.com/googleb643811abcdafc26.html","200","","15","15","54","text/html; charset=utf-8","","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"google-verification","googlebot","https://www.searchsarkarinaukri.com/googleb643811abcdafc26.html","404","","58","58","5483","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"google-verification","googlebot-desktop","https://www.searchsarkarinaukri.com/googleb643811abcdafc26.html","404","","20","21","5483","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"bing-verification","standard","https://www.searchsarkarinaukri.com/5E45336BE620BB3F.txt","200","","15","15","16","text/plain; charset=utf-8","","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"bing-verification","googlebot","https://www.searchsarkarinaukri.com/5E45336BE620BB3F.txt","404","","18","18","5448","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"bing-verification","googlebot-desktop","https://www.searchsarkarinaukri.com/5E45336BE620BB3F.txt","404","","18","19","5448","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"og-image","standard","https://www.searchsarkarinaukri.com/og-image.png?v=2","200","","23","60","97951","image/png","","max-age=2592000, public, immutable","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"og-image","googlebot","https://www.searchsarkarinaukri.com/og-image.png?v=2","200","","33","62","97951","image/png","","max-age=2592000, public, immutable","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"og-image","googlebot-desktop","https://www.searchsarkarinaukri.com/og-image.png?v=2","200","","16","31","97951","image/png","","max-age=2592000, public, immutable","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
